测试频道,#genre#
CCTV-15音乐,http://m.061899.xyz/mg/cctv15
CCTV-16奥林匹克,http://m.061899.xyz/mg/cctv16
CCTV-17农业农村,http://m.061899.xyz/mg/cctv17
CCTV-美洲,http://m.061899.xyz/mg/cctv4m
CCTV-欧洲,http://m.061899.xyz/mg/cctv4o

卫视-咪咕,#genre#

江西卫视,http://goo.bkpcp.top/mg/jxws
东方卫视,http://goo.bkpcp.top/mg/dfws
北京卫视,http://goo.bkpcp.top/mg/bjws
安徽卫视,http://goo.bkpcp.top/mg/ahws
辽宁卫视,http://goo.bkpcp.top/mg/lnws
湖南卫视,http://goo.bkpcp.top/mg/hunws
天津卫视,http://goo.bkpcp.top/mg/tjws
山东卫视,http://goo.bkpcp.top/mg/sdws
黑龙江卫视,http://goo.bkpcp.top/mg/hljws
重庆卫视,http://goo.bkpcp.top/mg/cqws
广西卫视,http://goo.bkpcp.top/mg/gxws
东南卫视,http://goo.bkpcp.top/mg/dnws
吉林卫视,http://goo.bkpcp.top/mg/jlws
山西卫视,http://goo.bkpcp.top/mg/sxiws
四川卫视,http://goo.bkpcp.top/mg/scws
贵州卫视,http://goo.bkpcp.top/mg/gzws
内蒙古卫视,http://goo.bkpcp.top/mg/nmgws
西藏卫视,http://goo.bkpcp.top/mg/xzws
厦门卫视,http://goo.bkpcp.top/mg/xmws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
广东卫视,http://goo.bkpcp.top/mg/gdws
海南卫视,http://goo.bkpcp.top/mg/hinws
河北卫视,http://goo.bkpcp.top/mg/hbws
河南卫视,http://goo.bkpcp.top/mg/hnws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江苏卫视,http://goo.bkpcp.top/mg/jsws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
深圳卫视,http://goo.bkpcp.top/mg/szws
新疆卫视,http://goo.bkpcp.top/mg/xjws
云南卫视,http://goo.bkpcp.top/mg/ynws
浙江卫视,http://goo.bkpcp.top/mg/zjws

江西卫视,http://go.bkpcp.top/mg/jxws
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
黑龙江视,http://go.bkpcp.top/mg/hljws

江西卫视,http://t.061899.xyz/tl/tl.php?id=jxws
北京卫视,http://t.061899.xyz/tl/tl.php?id=bjws
东方卫视,http://t.061899.xyz/tl/tl.php?id=dfws
浙江卫视,http://t.061899.xyz/tl/tl.php?id=zjws
江苏卫视,http://t.061899.xyz/tl/tl.php?id=jsws
湖南卫视,http://t.061899.xyz/tl/tl.php?id=hunws
广东卫视,http://t.061899.xyz/tl/tl.php?id=gdws
深圳卫视,http://t.061899.xyz/tl/tl.php?id=szws
天津卫视,http://t.061899.xyz/tl/tl.php?id=tjws
安徽卫视,http://t.061899.xyz/tl/tl.php?id=ahws
山东卫视,http://t.061899.xyz/tl/tl.php?id=sdws
山西卫视,http://t.061899.xyz/tl/tl.php?id=sxiws
辽宁卫视,http://t.061899.xyz/tl/tl.php?id=lnws
河北卫视,http://t.061899.xyz/tl/tl.php?id=hbws
河南卫视,http://t.061899.xyz/tl/tl.php?id=hnws
四川卫视,http://t.061899.xyz/tl/tl.php?id=scws
重庆卫视,http://t.061899.xyz/tl/tl.php?id=cqws
贵州卫视,http://t.061899.xyz/tl/tl.php?id=gzws
湖北卫视,http://t.061899.xyz/tl/tl.php?id=hubws
广西卫视,http://t.061899.xyz/tl/tl.php?id=gxws
云南卫视,http://t.061899.xyz/tl/tl.php?id=ynws
东南卫视,http://t.061899.xyz/tl/tl.php?id=dnws
海南卫视,http://t.061899.xyz/tl/tl.php?id=hinws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
甘肃卫视,http://t.061899.xyz/tl/tl.php?id=gsws
陕西卫视,http://t.061899.xyz/tl/tl.php?id=sxws
宁夏卫视,http://t.061899.xyz/tl/tl.php?id=nxws
新疆卫视,http://t.061899.xyz/tl/tl.php?id=xjws
吉林卫视,http://t.061899.xyz/tl/tl.php?id=jlws
西藏卫视,http://t.061899.xyz/tl/tl.php?id=xzws
内蒙古视,http://t.061899.xyz/tl/tl.php?id=nmgws
黑龙江视,http://t.061899.xyz/tl/tl.php?id=hljws

