IPV6频道,#genre#
东南卫视,http://115.60.241.249:2000/udp/225.1.4.228:1274
东南卫视,http://115.60.241.249:2000/udp/225.1.4.32:1061
甘肃卫视,http://115.60.241.249:2000/udp/225.1.4.42:1071
广东卫视,http://115.60.241.249:2000/udp/225.1.4.166:1207
广东卫视,http://115.60.241.249:2000/udp/225.1.4.30:1059
安徽卫视,http://115.60.241.249:2000/udp/225.1.4.20:1049
安徽卫视,http://115.60.241.249:2000/udp/225.1.4.87:1116
广西卫视,http://115.60.241.249:2000/udp/225.1.4.31:1060
贵州卫视,http://115.60.241.249:2000/udp/225.1.4.122:1302
贵州卫视,http://115.60.241.249:2000/udp/225.1.4.41:1070
海南卫视,http://115.60.241.249:2000/udp/225.1.4.195:1310
海南卫视,http://115.60.241.249:2000/udp/225.1.4.25:1054
河北卫视,http://115.60.241.249:2000/udp/225.1.4.123:1304
河北卫视,http://115.60.241.249:2000/udp/225.1.4.34:1063
河南卫视,http://115.60.241.249:2000/udp/225.1.4.51:1080
河南卫视,http://115.60.241.249:2000/udp/225.1.4.98:1127
河南卫视,http://115.60.241.249:2000/udp/225.1.4.254:1300
黑龙江卫视,http://115.60.241.249:2000/udp/225.1.4.28:1057
黑龙江卫视,http://115.60.241.249:2000/udp/225.1.4.91:1120
湖北卫视,http://115.60.241.249:2000/udp/225.1.4.35:1064
湖北卫视,http://115.60.241.249:2000/udp/225.1.4.89:1118
湖南卫视,http://115.60.241.249:2000/udp/225.1.4.17:1046
湖南卫视,http://115.60.241.249:2000/udp/225.1.4.82:1111
吉林卫视,http://115.60.241.249:2000/udp/225.1.4.174:1309
吉林卫视,http://115.60.241.249:2000/udp/225.1.4.36:1065
江苏卫视,http://115.60.241.249:2000/udp/225.1.4.18:1047
江苏卫视,http://115.60.241.249:2000/udp/225.1.4.83:1112
内蒙古卫视,http://115.60.241.249:2000/udp/225.1.4.45:1074
宁夏卫视,http://115.60.241.249:2000/udp/225.1.4.43:1072
青海卫视,http://115.60.241.249:2000/udp/225.1.4.44:1073
厦门卫视,http://115.60.241.249:2000/udp/225.1.4.95:1124
山东卫视,http://115.60.241.249:2000/udp/225.1.4.27:1056
山东卫视,http://115.60.241.249:2000/udp/225.1.4.88:1117
山西卫视,http://115.60.241.249:2000/udp/225.1.4.38:1067
陕西卫视,http://115.60.241.249:2000/udp/225.1.4.39:1068
深圳卫视,http://115.60.241.249:2000/udp/225.1.4.23:1052
深圳卫视,http://115.60.241.249:2000/udp/225.1.4.90:1119
四川卫视,http://115.60.241.249:2000/udp/225.1.4.151:1306
四川卫视,http://115.60.241.249:2000/udp/225.1.4.40:1069
天津卫视,http://115.60.241.249:2000/udp/225.1.4.24:1053
天津卫视,http://115.60.241.249:2000/udp/225.1.4.86:1115
西藏卫视,http://115.60.241.249:2000/udp/225.1.4.46:1075
新疆卫视,http://115.60.241.249:2000/udp/225.1.4.47:1076
云南卫视,http://115.60.241.249:2000/udp/225.1.4.152:1307
云南卫视,http://115.60.241.249:2000/udp/225.1.4.33:1062
浙江卫视,http://115.60.241.249:2000/udp/225.1.4.19:1048
浙江卫视,http://115.60.241.249:2000/udp/225.1.4.84:1113
重庆卫视,http://115.60.241.249:2000/udp/225.1.4.157:1308
重庆卫视,http://115.60.241.249:2000/udp/225.1.4.29:1058

影视纪实,#genre#
CHC动作电影,http://annaxi.lw-home.com:11111/udp/239.253.254.153:8000
CHC动作电影,http://36.46.99.160:8009/udp/239.112.205.207:5140
CHC动作电影,http://115.60.241.249:2000/udp/225.1.4.208:1261
CHC高清电影,http://annaxi.lw-home.com:11111/udp/239.253.254.154:8000
CHC高清电影,http://36.46.99.160:8009/udp/239.112.205.206:5140
CHC高清电影,http://115.60.241.249:2000/udp/225.1.4.207:1260
CHC家庭影院,http://annaxi.lw-home.com:11111/udp/239.253.254.152:8000
CHC家庭影院,http://36.46.99.160:8009/udp/239.112.205.205:5140
CHC家庭影院,http://115.60.241.249:2000/udp/225.1.4.209:1262
精彩电影,http://annaxi.lw-home.com:11111/udp/239.253.254.142:8000
陕西影视,http://36.46.99.160:8009/udp/239.112.205.21:5140
西部电影,http://36.46.99.160:8009/udp/239.111.205.41:5140
影视频道,http://36.46.99.160:8009/udp/239.112.205.175:5140
圆点影视,http://36.46.99.160:8009/udp/239.111.205.64:5140
经典电影,http://115.60.241.249:2000/udp/225.1.4.175:1233
爱电影,http://115.60.241.249:2000/udp/225.1.4.6:1035
都市剧场,http://annaxi.lw-home.com:11111/udp/239.253.254.98:8000
都市剧场,http://36.46.99.160:8009/udp/239.111.205.2:5140
欢笑剧场,http://36.46.99.160:8009/udp/239.112.205.236:5140
第一剧场,http://36.46.99.160:8009/udp/239.111.205.65:5140
风云剧场,http://36.46.99.160:8009/udp/239.111.205.66:5140
怀旧剧场,http://36.46.99.160:8009/udp/239.111.205.67:5140
金鹰纪实,http://annaxi.lw-home.com:11111/udp/239.253.254.103:8000
全纪实,http://36.46.99.160:8009/udp/239.111.205.3:5140
纪实人文,http://36.46.99.160:8009/udp/239.112.205.204:5140
金鹰纪实,http://36.46.99.160:8009/udp/239.112.205.203:5140
金鹰纪实,http://115.60.241.249:2000/udp/225.1.4.172:1711
高清纪实,http://115.60.241.249:2000/udp/225.1.4.170:1222
谍战剧场,http://115.60.241.249:2000/udp/225.1.4.185:1240
热播剧场,http://115.60.241.249:2000/udp/225.1.4.190:1239
