中央频道,#genre#
CCTV-03,http://171.212.212.47:8000/udp/239.93.1.11:2223
CCTV-03,http://171.213.37.127:4022/udp/239.93.1.11:2223
CCTV-03,http://171.213.37.127:4022/udp/239.93.1.11:2223
CCTV-04,http://1.82.144.16:4022/rtp/239.112.205.202:5140
CCTV-04,http://1.82.144.16:4022/rtp/239.112.205.202:5140
CCTV-04,http://1.82.144.16:4022/rtp/239.112.205.202:5140
CCTV-04,http://1.83.163.43:8888/rtp/239.112.205.202:5140
CCTV-04,http://1.83.163.43:8888/rtp/239.112.205.202:5140
CCTV-04,http://111.196.131.234:8012/rtp/239.3.1.105:8092
CCTV-04,http://111.196.131.234:8012/rtp/239.3.1.105:8092
CCTV-04,http://113.24.136.208:8082/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.208:8082/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.208:8085/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.208:8085/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.208:8086/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.208:8086/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.227:8082/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.227:8082/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.227:8085/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.227:8085/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.240:8082/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.240:8082/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.240:8085/udp/239.1.1.10:8010
CCTV-04,http://113.24.136.240:8085/udp/239.1.1.10:8010
CCTV-04,http://113.251.178.188:6666/rtp/235.254.198.183:7980
CCTV-04,http://113.251.178.188:6666/rtp/235.254.198.183:7980
CCTV-04,http://113.251.178.188:6666/rtp/235.254.198.3:1288
CCTV-04,http://113.251.178.188:6666/rtp/235.254.198.3:1288
CCTV-04,http://114.243.108.225:4000/rtp/239.3.1.105:8092
CCTV-04,http://114.243.108.225:4000/rtp/239.3.1.105:8092
